YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
8868.0,1,739.0,2,739.0,1,1,0,0,18.0,5,1,0,0.0,0,1,0,0,0.0,2,59
4860.0,0,405.0,3,405.0,1,2,1,1,405.0,6,1,0,0.0,0,1,0,0,0.0,0,25
4404.0,0,367.0,3,367.0,1,1,0,0,367.0,88,0,0,0.0,0,0,0,1,0.0,0,25
21372.0,1,1581.0,5,1781.0,1,3,1,0,600.0,30,0,0,400.0,1,0,0,1,0.0,0,23
2400.0,1,0.0,3,200.0,2,1,0,0,0.0,28,1,0,0.0,0,0,0,1,0.0,0,41
0.0,1,0.0,3,0.0,3,2,0,0,0.0,93,1,0,0.0,0,1,0,0,0.0,1,51
4404.0,1,367.0,2,367.0,1,1,1,0,367.0,33,1,0,0.0,0,1,0,0,0.0,0,27
12288.0,0,1024.0,3,1024.0,1,2,1,0,526.0,43,1,0,0.0,0,1,0,0,0.0,1,28
7200.0,1,600.0,3,600.0,2,2,0,0,0.0,75,1,0,600.0,1,1,0,0,0.0,0,33
6456.0,0,538.0,4,538.0,1,2,1,0,538.0,38,0,0,0.0,0,0,1,0,0.0,0,35
4572.0,0,381.0,2,381.0,1,1,0,1,381.0,25,1,0,0.0,0,0,1,0,0.0,0,26
12948.0,1,1079.0,2,1079.0,1,1,1,0,54.0,3,1,0,0.0,0,1,0,0,0.0,0,34
19560.0,0,1630.0,6,1630.0,4,5,0,0,650.0,35,1,0,980.0,1,1,0,0,0.0,0,31
14376.0,0,1198.0,2,1198.0,1,1,0,1,358.0,4,1,0,840.0,1,1,0,0,0.0,0,29
4440.0,0,370.0,2,370.0,1,1,0,1,370.0,62,0,0,0.0,0,0,0,1,0.0,0,20
17760.0,1,806.0,2,1480.0,1,1,1,0,132.0,9,0,0,0.0,0,0,1,0,0.0,2,33
22560.0,1,280.0,3,1880.0,2,1,0,0,280.0,44,0,0,0.0,0,0,0,1,0.0,1,41
20640.0,1,1720.0,5,1720.0,1,4,0,0,0.0,17,1,0,1720.0,1,1,0,0,0.0,0,46
6000.0,0,500.0,2,500.0,1,1,0,0,0.0,7,1,0,500.0,1,1,0,0,0.0,0,25
3000.0,0,250.0,3,250.0,2,1,0,1,0.0,53,1,0,250.0,1,1,0,0,0.0,0,21
9360.0,1,780.0,5,780.0,1,3,1,0,780.0,37,0,0,0.0,0,0,0,1,0.0,0,28
11976.0,1,898.0,4,998.0,1,2,1,0,498.0,31,0,0,400.0,1,0,0,1,0.0,0,23
7212.0,1,601.0,2,601.0,2,1,1,0,365.0,88,0,0,0.0,0,0,1,0,236.0,1,27
2400.0,0,200.0,2,200.0,1,1,0,1,0.0,59,1,0,0.0,0,1,0,0,200.0,0,30
9600.0,1,800.0,3,800.0,1,2,1,0,90.0,5,1,1,0.0,0,1,0,0,0.0,2,51
14352.0,0,1196.0,6,1196.0,1,5,1,0,296.0,83,1,0,0.0,0,1,0,0,0.0,0,32
8388.0,0,699.0,2,699.0,1,1,1,0,300.0,69,1,0,0.0,0,1,0,0,0.0,0,23
5280.0,1,440.0,2,440.0,1,1,1,0,0.0,73,1,0,0.0,0,1,0,0,0.0,1,23
9516.0,0,793.0,5,793.0,1,4,1,1,793.0,26,0,0,0.0,0,0,1,0,0.0,1,40
6804.0,0,367.0,3,567.0,4,1,1,1,367.0,31,1,0,0.0,0,0,0,1,0.0,1,38
8028.0,0,669.0,2,669.0,4,1,1,1,369.0,39,1,0,300.0,1,0,1,0,0.0,0,32
23580.0,0,1267.0,4,1965.0,3,3,0,1,170.0,65,1,0,0.0,0,1,0,0,399.0,2,40
